ra,ra_err,dec,dec_err,u,u_err,g,g_err,r,r_err,i,i_err,z,g_err1
345.418237601405,0.0151176552527315,59.6312267960798,0.0157588713849897,25.06967,0.842271,21.60376,0.1661344,20.11675,0.113321,19.36522,0.1076363,18.72349,0.1661344
345.417942755689,0.0151895869665977,59.6256503735915,0.0149783217532663,24.27076,0.7459642,21.80975,0.08603703,20.0453,0.03352502,19.1492,0.0328537,18.51509,0.08603703
345.422988487005,0.0127282937597378,59.6355576693964,0.0128775540230641,24.3958,0.9205812,21.13746,0.04125741,19.84598,0.02736271,19.09832,0.02471879,18.60059,0.04125741
345.416307678344,0.0121961433379541,59.6300743498062,0.0119424158658864,23.44884,0.4608612,21.10636,0.08468713,19.85505,0.1199329,19.08259,0.08296702,18.48343,0.08468713
345.427289558102,0.00954859459703238,59.6357490773557,0.00982734901060995,22.89189,0.5298896,20.65239,0.1442468,19.44794,0.1003599,18.82674,0.07573579,18.36747,0.1442468
345.418239001586,0.00902105877065915,59.6303472336763,0.00921990134903928,23.47663,0.5708656,20.52456,0.7336513,19.37647,1.060783,18.76391,0.688968,18.27322,0.7336513
345.426079654838,0.406050626430122,59.6290590659591,0.405774984492123,22.59888,0.4214868,20.72476,1.652131,24.80209,8.18491,18.61952,0.5752436,22.82687,1.652131
345.409957485029,0.00634450193392473,59.631722192914,0.00640499844466184,22.18232,0.2039319,20.0445,0.02237833,18.81224,0.01280951,18.30432,0.01696157,17.92044,0.02237833
345.438220461931,0.00577947648235559,59.6272920166312,0.00591081053991255,23.30474,0.5153028,20.08657,0.02106985,18.6875,0.01004641,18.01696,0.01350461,17.48689,0.02106985
345.431047091587,0.00235019359230339,59.6339706227697,0.00238122229072528,20.07884,0.0426587,18.11934,0.01393732,17.17953,0.0070561,16.79043,0.01232124,16.46979,0.01393732
345.420588610578,0.00176411893931415,59.6289504440385,0.00180239509884448,19.09185,0.02521942,17.39478,0.01333744,16.59732,0.006122375,16.28488,0.01158868,16.06624,0.01333744
345.445132293607,0.00186981751810269,59.6278708050096,0.00189246461695606,19.68245,0.03309833,17.65044,0.01346457,16.72231,0.006183717,16.37511,0.01157757,16.10068,0.01346457
345.428588698928,0.00054427292922166,59.6292110226612,0.000554953791279805,18.39333,0.02044859,15.68394,0.01295716,14.15656,0.005618276,13.4271,0.002136716,12.83446,0.01295716
345.377960201656,0.0747001028290455,59.6216717153777,0.0696249592463022,25.68804,0.5879162,24.6424,0.6072645,22.01658,0.1840734,20.61773,0.1006713,20.34827,0.6072645
345.375235246018,0.112070382231313,59.6220976438304,0.112356686998606,25.84161,0.5247655,23.84365,96.22181,22.67007,44.46435,22.3677,5.00201,19.90345,96.22181
345.373108260943,0.0978354372416401,59.6271671036057,0.098067165590857,25.22109,1.11505,25.11507,1.248002,24.80221,3.325923,21.09622,7.931825,19.86137,1.248002
345.371826074854,0.00552868799271155,59.6243621177341,0.00573268711695494,22.11106,0.3429796,19.61158,1.66571,18.77633,1.156711,18.18842,0.8294396,17.95016,1.66571
345.37273739944,0.00353344429427237,59.6263418956929,0.00364094235046392,21.15959,0.08709747,19.0081,0.3100083,17.9554,0.1943462,17.49637,0.178202,17.16223,0.3100083
345.374499583628,0.00328100808053242,59.6240855348737,0.0031841455490985,20.78688,2.738286,25.11477,510.4762,18.00498,0.921563,17.37972,0.6426747,16.56522,510.4762
345.372172598194,0.00371632127527533,59.6248068255159,0.0037333991864008,22.08838,0.3285095,19.36514,1.296133,17.91356,0.4983344,17.17823,0.3073018,16.54938,1.296133
